Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-09-12,6,8,1.955,2.251,13,6,0.856,0.643,1409,1011,396.06699999999995,333.19800000000004,1.393669634025717,1.3673084307202492,1.3294510843612046
2019-09-15,8,2,2.055,1.92,42,19,1.3730000000000002,1.296,1169,824,331.94199999999995,258.661,1.4186893203883495,1.3929988755542992,1.345676218209909
2019-09-16,1,6,1.8619999999999999,3.467,20,19,1.42,1.442,1229,1005,355.50800000000004,293.317,1.2228855721393035,1.3079422238468013,1.3233506461682654
2019-09-17,10,6,0.862,3.2119999999999997,21,19,0.8859999999999999,1.6469999999999998,1124,1038,323.376,307.817,1.0828516377649327,1.195396930805867,1.2796235536851341
2019-09-18,5,4,2.32,2.917,20,17,1.4409999999999998,1.244,1518,953,429.92699999999996,316.816,1.5928646379853095,1.3941307843955881,1.3365764781525402
2019-09-19,3,6,2.146,2.4130000000000003,59,43,1.119,1.5490000000000002,1502,1291,416.522,323.533,1.1634391944229279,1.278784989409258,1.305096971997637
2019-09-22,6,9,2.2,3.657,28,54,1.395,2.7310000000000003,1117,862,309.655,250.727,1.2958236658932714,1.2873043276512646,1.303410916341323
2019-09-23,8,8,3.3930000000000002,1.91,11,14,0.9329999999999999,1.107,1412,1065,432.185,331.48400000000004,1.3258215962441315,1.306562961947698,1.3074855854164886
2019-09-24,8,6,0.71,2.898,22,21,1.337,0.794,1719,1331,446.532,313.817,1.2915101427498121,1.299036552348755,1.3045809594759687
2019-09-25,3,7,1.733,3.38,60,37,1.577,1.359,1415,1132,434.059,381.39599999999996,1.25,1.2745182761743776,1.2946571486590135
2019-09-26,5,6,3.029,2.591,38,24,1.395,1.3559999999999999,1271,954,358.594,285.824,1.3322851153039832,1.3034016957391805,1.3014985971416897
2019-09-29,6,5,1.845,2.2680000000000002,40,14,1.9469999999999998,1.739,1083,780,287.366,252.926,1.3884615384615384,1.3459316171003595,1.3173100410213776
2019-09-30,11,5,3.5239999999999996,1.8659999999999999,6,11,0.996,0.604,1501,1228,496.315,353.379,1.2223127035830619,1.2841221603417106,1.3000377978477788
2019-10-01,11,4,2.1,2.645,23,24,1.074,1.9669999999999999,1343,955,415.07599999999996,316.376,1.406282722513089,1.3452024414273998,1.3193550568805767
2019-10-02,3,4,1.921,2.822,30,23,0.9179999999999999,1.5659999999999998,1288,1121,444.98400000000004,348.33,1.1489741302408565,1.2470882858341281,1.2883767065788487
2019-10-03,6,6,1.604,4.43,22,18,0.494,1.023,1127,884,335.54699999999997,270.932,1.2748868778280542,1.2609875818310912,1.2859240104421077
2019-10-06,5,4,2.198,1.3619999999999999,42,33,2.227,1.683,1025,841,352.389,244.945,1.2187871581450653,1.2398873699880784,1.2737173100235148
2019-10-07,4,6,2.273,1.188,29,26,1.102,1.11,1235,1094,358.276,322.873,1.1288848263254114,1.184386098156745,1.2473841311676397
2019-10-08,3,3,2.8819999999999997,2.076,20,12,1.469,1.9240000000000002,1384,1134,451.18800000000005,366.631,1.220458553791887,1.2024223259743159,1.2424885716445209
2019-10-09,9,7,2.17,2.2640000000000002,6,5,1.3419999999999999,0.815,1204,934,393.969,300.755,1.2890792291220556,1.2457507775481858,1.2509596002771606
2019-10-10,2,5,1.889,2.084,28,15,1.574,1.3630000000000002,1497,1215,366.406,285.22900000000004,1.2320987654320987,1.2389247714901424,1.2475303575779388
